,HotelName,Date,Reputations,Comments,Purposes,companions
0,ストリングスホテル　名古屋,2021年08月,4,"
    品川のストリングスをイメージし、また新幹線から見えるキレイな建物の外観に惹かれて予約しました。結果は期待をし過ぎたため、普通のビジネスホテルと言う感想です。サービスはキチンとトレーニングされたスタッフが提供してくれ、その点は一般的なビジネスホテルより確実に上でしょう。立地は駅から少し歩きますが天気が良ければ気になりません。周辺はコンビニ、スタバもあり、また食事するお店も多くは無いですがあるので困りません。もし名古屋を楽しみたいなら同じ金額を出してもう少し駅近が良いのでは？と思います。",ビジネス,一人
1,ストリングスホテル　名古屋,2021年08月,5,"
    初めて宿泊させて頂きました。スタッフさんの対応が良くてお部屋も広くてゆっくり過ごせました。朝食ビュッフェも美味しかったです。大聖堂が見えるお席が埋まってて残念がってたのに気付いてくださったのか、お席が空いたタイミングで移動させてもらえたのも嬉しかったです。今回は仕事の都合で伺いましたがコロナが落ち着いたらプライベートで連泊しに行きます。",ビジネス,一人
2,ストリングスホテル　名古屋,2021年08月,5,"
    恋人の誕生日のサプライズお祝いのために利用しました。事前に念入りに、電話などでも何度も打ち合わせして頂き、本番に望むことができました。ケーキもバルーンも予想以上に素敵でした！今後も利用したくなるような素敵なホテルです。食事もとても美味しかったです。ありがとうございました。",レジャー,恋人
3,ストリングスホテル　名古屋,2021年08月,5,"
    全体的に他の仕事仲間も初宿泊でしたが満足してました。最初のフロント受付が他の宿泊客がお待ちになってて少し混雑してきてましたが非常に丁寧でよかったです。女子はフロントのイケメンにときめいてました。608号室だけか、他の部屋も同様かはわかりませんが、お湯をためる蛇口の温度設定がたぶん壊れてます。40度でお湯を入れてるのに、入ろうと思ったら80度くらい。熱湯でした。何度か40度程で出したりしましたが温度設定メモリがおかしいのかも？お子様連れにはヤケドするので危険なのでチェックされた方がいいと思います。そのほかは、よかったです！",レジャー,仕事仲間
4,ストリングスホテル　名古屋,2021年06月,4,"
    以前緊急事態宣言がでたため行けなくなったので今回初めて泊まりました。入り口から上品な香りが身にまといロビーもラグジュアリーな家具が立ち並んでいて自分が貴族になったような気分でしたお部屋は高級ホテルにしては小さく、階数も低いので夜景！とはいきませんが中庭？の宮殿が上品に光っており非日常を味わえました。ごはんは朝食を別でつけましたがオムレツが美味しくたべすぎてしまうので要注意名古屋駅、ささしまエリアには高級ホテルが多数あるのでそこに負けないようなより楽しめて貴族のようなおもてなしをしていただけるプランがあったら是非また宿泊したいです。",レジャー,恋人
5,ストリングスホテル　名古屋,2021年07月,5,"
    アフタヌーンティーのセットを部屋まで持ってきていただきました。今回はリトルマーメイドのテーマで作られたスイーツでした。どれも可愛すぎて食べるのが勿体無かったです。朝食はブッフェスタイルでどれも美味しかったです。その場で作ってもらえるチーズオムレツが最高でした。全体的に満足なホテルステイでした。",レジャー,家族
6,ストリングスホテル　名古屋,2021年07月,5,"
    ホテルのスタッフの方皆さんが本当に丁寧に対応して頂き、気持ちよく過ごす事が出来ました。新幹線や電車がホテルのすぐそばを通っているので、子供は大興奮でした。また泊まりに来たいホテルです。",レジャー,家族
7,ストリングスホテル　名古屋,2021年07月,5,"
    誕生日のデコレーションが嬉しかったです。",レジャー,恋人
8,ストリングスホテル　名古屋,2021年06月,5,"
    すごい思い出に残る誕生日になりました！",その他,恋人
9,ストリングスホテル　名古屋,2021年06月,5,"
    大変満足です。",レジャー,家族
